
1671075901000 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671075902285 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -47.8, 'chp': -0.26, 'lp': 18612.5, 'spread': 0.0, 'ask': 18612.5, 'bid': 18612.5, 'open_price': 18614.4, 'high_price': 18621.2, 'low_price': 18612.2, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 18614.4, 'h': 18621.2, 'l': 18612.2, 'c': 18612.5, 'v': 0, 'tf': '9:15'}}}]}

1671076474267 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671076475200 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': -3.35, 'chp': -0.27, 'lp': 1240.35, 'spread': 0.4, 'ask': 1240.75, 'bid': 1240.35, 'open_price': 1249.9, 'high_price': 1261.55, 'low_price': 1238.25, 'prev_close_price': 1243.7, 'volume': 87656, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671076440, 'o': 1239.9, 'h': 1241.1, 'l': 1238.25, 'c': 1240.35, 'v': 2445, 'tf': '9:24'}}}]}

1671076475208 :: quotes :: {'symbols': 'NSE:SBILIFE-EQ'} :: 1671076476220 :: {'s': 'ok', 'd': [{'n': 'NSE:SBILIFE-EQ', 's': 'ok', 'v': {'ch': 14.4, 'chp': 1.13, 'lp': 1284.15, 'spread': 0.5, 'ask': 1284.15, 'bid': 1283.65, 'open_price': 1274.95, 'high_price': 1289.55, 'low_price': 1272.55, 'prev_close_price': 1269.75, 'volume': 134107, 'short_name': 'SBILIFE-EQ', 'exchange': 'NSE', 'description': 'NSE:SBILIFE-EQ', 'original_name': 'NSE:SBILIFE-EQ', 'symbol': 'NSE:SBILIFE-EQ', 'fyToken': '101000000021808', 'tt': 1671062400, 'cmd': {'t': 1671076440, 'o': 1285.25, 'h': 1285.25, 'l': 1283.75, 'c': 1284.15, 'v': 5196, 'tf': '9:24'}}}]}

1671076486230 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671076487155 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -26.4, 'chp': -0.14, 'lp': 18633.9, 'spread': 0.0, 'ask': 18633.9, 'bid': 18633.9, 'open_price': 18614.4, 'high_price': 18652.9, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671076440, 'o': 18637.45, 'h': 18639.85, 'l': 18633.9, 'c': 18633.9, 'v': 0, 'tf': '9:24'}}}]}

1671076487157 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671076488086 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 46.1, 'chp': 0.1, 'lp': 44095.2, 'spread': 0.0, 'ask': 44095.2, 'bid': 44095.2, 'open_price': 43940.1, 'high_price': 44109.95, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671076440, 'o': 44086.85, 'h': 44109.95, 'l': 44086.85, 'c': 44095.2, 'v': 0, 'tf': '9:24'}}}]}

1671076488087 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671076488991 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.35, 'chp': 0.48, 'lp': 72.6, 'spread': 0.05, 'ask': 72.6, 'bid': 72.55, 'open_price': 72.65, 'high_price': 72.95, 'low_price': 72.35, 'prev_close_price': 72.25, 'volume': 735544, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671076440, 'o': 72.65, 'h': 72.65, 'l': 72.6, 'c': 72.6, 'v': 22473, 'tf': '9:24'}}}]}

1671076488998 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671076490255 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': -5.1, 'chp': -0.41, 'lp': 1238.6, 'spread': 0.7, 'ask': 1239.95, 'bid': 1239.25, 'open_price': 1249.9, 'high_price': 1261.55, 'low_price': 1238.25, 'prev_close_price': 1243.7, 'volume': 87849, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671076440, 'o': 1239.9, 'h': 1241.1, 'l': 1238.25, 'c': 1238.6, 'v': 2638, 'tf': '9:24'}}}]}

1671076490262 :: quotes :: {'symbols': 'NSE:SBILIFE-EQ'} :: 1671076491177 :: {'s': 'ok', 'd': [{'n': 'NSE:SBILIFE-EQ', 's': 'ok', 'v': {'ch': 17.15, 'chp': 1.35, 'lp': 1286.9, 'spread': 0.75, 'ask': 1286.8, 'bid': 1286.05, 'open_price': 1274.95, 'high_price': 1289.55, 'low_price': 1272.55, 'prev_close_price': 1269.75, 'volume': 136760, 'short_name': 'SBILIFE-EQ', 'exchange': 'NSE', 'description': 'NSE:SBILIFE-EQ', 'original_name': 'NSE:SBILIFE-EQ', 'symbol': 'NSE:SBILIFE-EQ', 'fyToken': '101000000021808', 'tt': 1671062400, 'cmd': {'t': 1671076440, 'o': 1285.25, 'h': 1286.9, 'l': 1283.75, 'c': 1286.9, 'v': 7849, 'tf': '9:24'}}}]}

1671076501186 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671076502432 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -24.85, 'chp': -0.13, 'lp': 18635.45, 'spread': 0.0, 'ask': 18635.45, 'bid': 18635.45, 'open_price': 18614.4, 'high_price': 18652.9, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 18634.4, 'h': 18635.8, 'l': 18634.4, 'c': 18635.45, 'v': 0, 'tf': '9:25'}}}]}

1671076502433 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671076503334 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 46.6, 'chp': 0.11, 'lp': 44095.7, 'spread': 0.0, 'ask': 44095.7, 'bid': 44095.7, 'open_price': 43940.1, 'high_price': 44109.95, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 44087.95, 'h': 44095.7, 'l': 44087.95, 'c': 44095.7, 'v': 0, 'tf': '9:25'}}}]}

1671076503335 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671076504231 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.3, 'chp': 0.42, 'lp': 72.55, 'spread': 0.05, 'ask': 72.6, 'bid': 72.55, 'open_price': 72.65, 'high_price': 72.95, 'low_price': 72.35, 'prev_close_price': 72.25, 'volume': 739232, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 72.55, 'h': 72.55, 'l': 72.55, 'c': 72.55, 'v': 804, 'tf': '9:25'}}}]}

1671076504239 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671076505534 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': -3.85, 'chp': -0.31, 'lp': 1239.85, 'spread': 0.5, 'ask': 1239.8, 'bid': 1239.3, 'open_price': 1249.9, 'high_price': 1261.55, 'low_price': 1238.25, 'prev_close_price': 1243.7, 'volume': 87906, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 1239.85, 'h': 1239.85, 'l': 1239.85, 'c': 1239.85, 'v': 4, 'tf': '9:25'}}}]}

1671076505542 :: quotes :: {'symbols': 'NSE:SBILIFE-EQ'} :: 1671076506448 :: {'s': 'ok', 'd': [{'n': 'NSE:SBILIFE-EQ', 's': 'ok', 'v': {'ch': 19.0, 'chp': 1.5, 'lp': 1288.75, 'spread': 0.7, 'ask': 1288.75, 'bid': 1288.05, 'open_price': 1274.95, 'high_price': 1289.55, 'low_price': 1272.55, 'prev_close_price': 1269.75, 'volume': 141583, 'short_name': 'SBILIFE-EQ', 'exchange': 'NSE', 'description': 'NSE:SBILIFE-EQ', 'original_name': 'NSE:SBILIFE-EQ', 'symbol': 'NSE:SBILIFE-EQ', 'fyToken': '101000000021808', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 1287.9, 'h': 1288.75, 'l': 1287.55, 'c': 1288.75, 'v': 2817, 'tf': '9:25'}}}]}

1671076516458 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671076517377 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -21.65, 'chp': -0.12, 'lp': 18638.65, 'spread': 0.0, 'ask': 18638.65, 'bid': 18638.65, 'open_price': 18614.4, 'high_price': 18652.9, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 18634.4, 'h': 18639.6, 'l': 18634.4, 'c': 18638.65, 'v': 0, 'tf': '9:25'}}}]}

1671076517378 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671076518285 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 38.3, 'chp': 0.09, 'lp': 44087.4, 'spread': 0.0, 'ask': 44087.4, 'bid': 44087.4, 'open_price': 43940.1, 'high_price': 44109.95, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 44087.95, 'h': 44099.95, 'l': 44087.4, 'c': 44087.4, 'v': 0, 'tf': '9:25'}}}]}

1671076518286 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671076519219 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.35, 'chp': 0.48, 'lp': 72.6, 'spread': 0.05, 'ask': 72.65, 'bid': 72.6, 'open_price': 72.65, 'high_price': 72.95, 'low_price': 72.35, 'prev_close_price': 72.25, 'volume': 741118, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 72.55, 'h': 72.6, 'l': 72.55, 'c': 72.6, 'v': 2690, 'tf': '9:25'}}}]}

1671076519227 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671076520142 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': -5.0, 'chp': -0.4, 'lp': 1238.7, 'spread': 0.25, 'ask': 1238.95, 'bid': 1238.7, 'open_price': 1249.9, 'high_price': 1261.55, 'low_price': 1238.25, 'prev_close_price': 1243.7, 'volume': 88172, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 1239.85, 'h': 1239.85, 'l': 1238.7, 'c': 1238.7, 'v': 270, 'tf': '9:25'}}}]}

1671076520150 :: quotes :: {'symbols': 'NSE:SBILIFE-EQ'} :: 1671076521515 :: {'s': 'ok', 'd': [{'n': 'NSE:SBILIFE-EQ', 's': 'ok', 'v': {'ch': 17.85, 'chp': 1.41, 'lp': 1287.6, 'spread': 0.4, 'ask': 1288.0, 'bid': 1287.6, 'open_price': 1274.95, 'high_price': 1289.55, 'low_price': 1272.55, 'prev_close_price': 1269.75, 'volume': 143541, 'short_name': 'SBILIFE-EQ', 'exchange': 'NSE', 'description': 'NSE:SBILIFE-EQ', 'original_name': 'NSE:SBILIFE-EQ', 'symbol': 'NSE:SBILIFE-EQ', 'fyToken': '101000000021808', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 1287.9, 'h': 1288.9, 'l': 1287.55, 'c': 1287.6, 'v': 4775, 'tf': '9:25'}}}]}

1671076531524 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671076532768 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -25.05, 'chp': -0.13, 'lp': 18635.25, 'spread': 0.0, 'ask': 18635.25, 'bid': 18635.25, 'open_price': 18614.4, 'high_price': 18652.9, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 18634.4, 'h': 18639.6, 'l': 18634.4, 'c': 18635.25, 'v': 0, 'tf': '9:25'}}}]}

1671076532769 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671076533765 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 30.15, 'chp': 0.07, 'lp': 44079.25, 'spread': 0.0, 'ask': 44079.25, 'bid': 44079.25, 'open_price': 43940.1, 'high_price': 44109.95, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 44087.95, 'h': 44099.95, 'l': 44079.25, 'c': 44079.25, 'v': 0, 'tf': '9:25'}}}]}

1671076533766 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671076534679 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.3, 'chp': 0.42, 'lp': 72.55, 'spread': 0.05, 'ask': 72.55, 'bid': 72.5, 'open_price': 72.65, 'high_price': 72.95, 'low_price': 72.35, 'prev_close_price': 72.25, 'volume': 758889, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 72.55, 'h': 72.65, 'l': 72.55, 'c': 72.55, 'v': 20461, 'tf': '9:25'}}}]}

1671076534687 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671076535612 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': -6.7, 'chp': -0.54, 'lp': 1237.0, 'spread': 0.55, 'ask': 1237.7, 'bid': 1237.15, 'open_price': 1249.9, 'high_price': 1261.55, 'low_price': 1237.0, 'prev_close_price': 1243.7, 'volume': 89273, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 1239.85, 'h': 1239.85, 'l': 1237.0, 'c': 1237.0, 'v': 1371, 'tf': '9:25'}}}]}

1671076535620 :: quotes :: {'symbols': 'NSE:SBILIFE-EQ'} :: 1671076536534 :: {'s': 'ok', 'd': [{'n': 'NSE:SBILIFE-EQ', 's': 'ok', 'v': {'ch': 18.1, 'chp': 1.43, 'lp': 1287.85, 'spread': 0.7, 'ask': 1287.7, 'bid': 1287.0, 'open_price': 1274.95, 'high_price': 1289.55, 'low_price': 1272.55, 'prev_close_price': 1269.75, 'volume': 146217, 'short_name': 'SBILIFE-EQ', 'exchange': 'NSE', 'description': 'NSE:SBILIFE-EQ', 'original_name': 'NSE:SBILIFE-EQ', 'symbol': 'NSE:SBILIFE-EQ', 'fyToken': '101000000021808', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 1287.9, 'h': 1288.9, 'l': 1287.0, 'c': 1287.85, 'v': 7451, 'tf': '9:25'}}}]}

1671076546544 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671076547452 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -28.05, 'chp': -0.15, 'lp': 18632.25, 'spread': 0.0, 'ask': 18632.25, 'bid': 18632.25, 'open_price': 18614.4, 'high_price': 18652.9, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 18634.4, 'h': 18639.6, 'l': 18632.25, 'c': 18632.25, 'v': 0, 'tf': '9:25'}}}]}

1671076547452 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671076548368 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 27.25, 'chp': 0.06, 'lp': 44076.35, 'spread': 0.0, 'ask': 44076.35, 'bid': 44076.35, 'open_price': 43940.1, 'high_price': 44109.95, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 44087.95, 'h': 44099.95, 'l': 44070.85, 'c': 44076.35, 'v': 0, 'tf': '9:25'}}}]}

1671076548369 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671076549435 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.3, 'chp': 0.42, 'lp': 72.55, 'spread': 0.1, 'ask': 72.55, 'bid': 72.45, 'open_price': 72.65, 'high_price': 72.95, 'low_price': 72.35, 'prev_close_price': 72.25, 'volume': 768599, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 72.55, 'h': 72.65, 'l': 72.55, 'c': 72.55, 'v': 30171, 'tf': '9:25'}}}]}

1671076549442 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671076550358 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': -6.35, 'chp': -0.51, 'lp': 1237.35, 'spread': 0.1, 'ask': 1237.35, 'bid': 1237.25, 'open_price': 1249.9, 'high_price': 1261.55, 'low_price': 1236.05, 'prev_close_price': 1243.7, 'volume': 90394, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 1239.85, 'h': 1239.85, 'l': 1236.05, 'c': 1237.35, 'v': 2492, 'tf': '9:25'}}}]}

1671076550365 :: quotes :: {'symbols': 'NSE:SBILIFE-EQ'} :: 1671076551616 :: {'s': 'ok', 'd': [{'n': 'NSE:SBILIFE-EQ', 's': 'ok', 'v': {'ch': 17.95, 'chp': 1.41, 'lp': 1287.7, 'spread': 0.7, 'ask': 1287.7, 'bid': 1287.0, 'open_price': 1274.95, 'high_price': 1289.55, 'low_price': 1272.55, 'prev_close_price': 1269.75, 'volume': 147150, 'short_name': 'SBILIFE-EQ', 'exchange': 'NSE', 'description': 'NSE:SBILIFE-EQ', 'original_name': 'NSE:SBILIFE-EQ', 'symbol': 'NSE:SBILIFE-EQ', 'fyToken': '101000000021808', 'tt': 1671062400, 'cmd': {'t': 1671076500, 'o': 1287.9, 'h': 1288.9, 'l': 1287.0, 'c': 1287.7, 'v': 8384, 'tf': '9:25'}}}]}

1671076561626 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671076562866 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -31.8, 'chp': -0.17, 'lp': 18628.5, 'spread': 0.0, 'ask': 18628.5, 'bid': 18628.5, 'open_price': 18614.4, 'high_price': 18652.9, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671076560, 'o': 18628.6, 'h': 18628.6, 'l': 18628.0, 'c': 18628.5, 'v': 0, 'tf': '9:26'}}}]}

1671076562867 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671076564113 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 18.35, 'chp': 0.04, 'lp': 44067.45, 'spread': 0.0, 'ask': 44067.45, 'bid': 44067.45, 'open_price': 43940.1, 'high_price': 44109.95, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671076560, 'o': 44067.75, 'h': 44072.1, 'l': 44067.45, 'c': 44067.45, 'v': 0, 'tf': '9:26'}}}]}

1671076564114 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671076565031 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.25, 'chp': 0.35, 'lp': 72.5, 'spread': 0.05, 'ask': 72.5, 'bid': 72.45, 'open_price': 72.65, 'high_price': 72.95, 'low_price': 72.35, 'prev_close_price': 72.25, 'volume': 773047, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671076560, 'o': 72.5, 'h': 72.5, 'l': 72.5, 'c': 72.5, 'v': 1043, 'tf': '9:26'}}}]}

1671076565038 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671076565945 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': -5.2, 'chp': -0.42, 'lp': 1238.5, 'spread': 0.35, 'ask': 1238.85, 'bid': 1238.5, 'open_price': 1249.9, 'high_price': 1261.55, 'low_price': 1236.05, 'prev_close_price': 1243.7, 'volume': 90924, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671076560, 'o': 1237.25, 'h': 1238.5, 'l': 1237.25, 'c': 1238.5, 'v': 491, 'tf': '9:26'}}}]}

